Country,PixelIoU,PixelPrecision,PixelRecall,ObjectPrecision,ObjectRecall,ObjectF1
austria,0.8062351459453441,0.8677046381495422,0.9192299851367284,0.7782476024411509,0.4435417753596184,0.5650488202433891
belgium,0.8372374382281395,0.8938861910784578,0.9296327016670196,0.8218051831992851,0.6097334571011802,0.7000609013398295
cambodia,0.752401514637766,0.8353211844464365,0.8834442849868062,0.5505471338219055,0.3468471317437227,0.4255781468260127
corsica,0.5118361172881005,0.8037681549288268,0.584928554411121,0.47043010752688175,0.16355140186915887,0.24271844660194175
croatia,0.780202743917095,0.856223573769382,0.897828168426701,0.6172080114019953,0.4412269412269412,0.5145876981769286
denmark,0.8636015690792337,0.9250902609833251,0.9285346022770681,0.7611524163568774,0.6135750674258316,0.6794425087108014
estonia,0.8375922931261565,0.917306108942575,0.9060025522727723,0.7609649122807017,0.43577323286688197,0.5541866301619895
finland,0.8904776247226716,0.9274748030477761,0.9571242441862248,0.7856966403162056,0.5933215185150639,0.6760907689854919
france,0.836465300359968,0.8678458803543903,0.9585627451465121,0.7696214219759926,0.6118553863094146,0.6817298844698906
germany,0.7911508912368019,0.8602144177145076,0.9078689782012488,0.7374881964117092,0.3863467721988622,0.5070605421197858
latvia,0.8478136754768899,0.9305449850390992,0.9050876458896843,0.7709308859336954,0.46970215679561794,0.5837469862430861
lithuania,0.8032446795874979,0.8531074416934392,0.9321702840284011,0.709338631847857,0.46780232122800447,0.5637901861252115
luxembourg,0.87764688509747,0.9232811046193141,0.9466858197719065,0.7451820128479657,0.5466786355475763,0.6306796116504855
netherlands,0.8248465853547828,0.8977519931501617,0.9103709909023995,0.7866882366535706,0.47997743936830234,0.5961993169279272
slovakia,0.9425571966996291,0.9699994706223717,0.9708594824481357,0.8499047619047619,0.5535980148883375,0.670473328324568
slovenia,0.7076887244247874,0.8420791323511322,0.8159842945997607,0.6885329265191965,0.25966056189471665,0.37710625261105696
south_africa,0.8327768013805198,0.8790123585137005,0.9405908620353441,0.7456310679611651,0.5192697768762677,0.612196094061379
spain,0.851328837231924,0.921575292669521,0.917822148726826,0.6465671641791044,0.24807207757501717,0.35856969429422797
sweden,0.8548989328280219,0.919838744963813,0.9237176933977803,0.7019669551534226,0.5236530109167743,0.5998386446147641
vietnam,0.725285616754359,0.7883188099032357,0.9007022101008916,0.4438214846378112,0.17631860299358518,0.2523751833195179
All countries,0.8419419556456268,0.9014189671406145,0.9273269827576881,0.7108883371590076,0.4252759211773882,0.5321830716312617
